season,team,first_name,last_name,position_code,position_type,sweater_number,height,weight,birth_date,birth_city,birth_country,birth_state_province,games_played,goals,assists,points,plusminus,penalty_minutes,age,birth_month
2006,ATL,Eric,Belanger,C,forwards,22,71,185,1977-12-16,Sherbrooke,CAN,Quebec,65,17,20,37,-5,62,29,12
2006,ATL,Eric,Boulton,L,forwards,36,72,227,1976-08-17,Halifax,CAN,Nova Scotia,51,4,5,9,-4,87,30,8
2006,ATL,Pascal,Dupuis,L,forwards,9,73,205,1979-04-07,Laval,CAN,Quebec,67,10,16,26,-10,40,27,4
2006,ATL,Denis,Hamel,L,forwards,14,74,203,1977-05-10,Lachute,CAN,Quebec,4,1,0,1,1,0,29,5
2006,ATL,Bobby,Holik,C,forwards,16,76,230,1971-01-01,Jihlava,CZE,NA,64,15,18,33,-6,79,35,1
2006,ATL,Marian,Hossa,R,forwards,18,73,207,1979-01-12,Stará Lubovna,SVK,NA,80,39,53,92,17,67,27,1
2006,ATL,Niko,Kapanen,C,forwards,39,68,180,1978-04-29,Hämeenlinna,FIN,NA,81,14,21,35,-10,36,28,4
2006,ATL,Ilya,Kovalchuk,L,forwards,17,75,222,1983-04-15,Tver,RUS,NA,78,52,46,98,-6,68,23,4
2006,ATL,Vyacheslav,Kozlov,L,forwards,13,70,190,1972-05-03,Voskresensk,RUS,NA,82,25,46,71,14,33,34,5
2006,ATL,Brad,Larsen,L,forwards,29,72,210,1977-06-28,Nakusp,CAN,British Columbia,62,7,8,15,-3,21,29,6
2006,ATL,Derek,MacKenzie,C,forwards,21,71,177,1981-06-11,Sudbury,CAN,Ontario,11,0,1,1,0,8,25,6
2006,ATL,Scott,Mellanby,R,forwards,19,73,210,1966-06-11,Montréal,CAN,Quebec,71,12,22,34,5,55,40,6
2006,ATL,Steve,Rucchin,C,forwards,20,74,210,1971-07-04,Thunder Bay,CAN,Ontario,72,13,23,36,6,10,35,7
2006,ATL,Jon,Sim,R,forwards,14,70,189,1977-09-29,New Glasgow,CAN,Nova Scotia,72,17,15,32,-7,54,29,9
2006,ATL,Jim,Slater,C,forwards,23,72,195,1982-12-09,Lapeer,USA,Michigan,71,10,10,20,1,46,24,12
2006,ATL,Keith,Tkachuk,L,forwards,8,74,235,1972-03-28,Melrose,USA,Massachusetts,41,15,21,36,-15,46,34,3
2006,ATL,Braydon,Coburn,D,defensemen,45,77,224,1985-02-27,Shaunavon,CAN,Saskatchewan,9,0,1,1,-2,4,21,2
2006,ATL,Garnet,Exelby,D,defensemen,2,73,215,1981-08-16,Craik,CAN,Saskatchewan,75,1,9,10,11,75,25,8
2006,ATL,Niclas,Havelid,D,defensemen,28,72,200,1973-04-12,Stockholm,SWE,NA,82,4,28,32,9,48,33,4
2006,ATL,Shane,Hnidy,D,defensemen,34,74,204,1975-11-08,Neepawa,CAN,Manitoba,66,0,3,3,1,33,31,11
2006,ATL,Steve,McCarthy,D,defensemen,5,73,210,1981-02-03,Trail,CAN,British Columbia,67,9,7,16,3,51,25,2
2006,ATL,Mark,Popovic,D,defensemen,3,73,205,1982-10-11,Stoney Creek,CAN,Ontario,7,0,0,0,-5,0,24,10
2006,ATL,Andy,Sutton,D,defensemen,25,78,245,1975-03-10,Kingston,CAN,Ontario,76,8,17,25,13,144,31,3
2006,ATL,Vitaly,Vishnevski,D,defensemen,2,74,215,1980-03-18,Kharkov,UKR,NA,82,1,7,8,8,91,26,3
2006,ATL,Alexei,Zhitnik,D,defensemen,77,71,225,1972-10-10,Kiev,UKR,NA,59,5,24,29,4,88,34,10
2007,ATL,Colby,Armstrong,R,forwards,20,74,185,1982-11-23,Lloydminster,CAN,Saskatchewan,80,12,22,34,2,67,25,11
2007,ATL,Eric,Boulton,L,forwards,36,72,227,1976-08-17,Halifax,CAN,Nova Scotia,45,3,4,7,2,49,31,8
2007,ATL,Erik,Christensen,C,forwards,9,73,200,1983-12-17,Edmonton,CAN,Alberta,61,18,15,33,-3,26,24,12
2007,ATL,Pascal,Dupuis,L,forwards,9,73,205,1979-04-07,Laval,CAN,Quebec,71,14,5,19,-17,42,28,4
2007,ATL,Darren,Haydar,R,forwards,38,69,170,1979-10-22,Toronto,CAN,Ontario,4,0,0,0,0,0,28,10
2007,ATL,Bobby,Holik,C,forwards,16,76,230,1971-01-01,Jihlava,CZE,NA,82,11,18,29,-3,86,36,1
